frequency_hz,differential_gain,common_to_differential_gain
1.883649089489802009e+02,9.872849715983362806e-01,5.002885344303779815e-04
1.995262314968880730e+02,9.866724544641034544e-01,4.839268714648166251e-04
2.113489039836647692e+02,9.860711729722804186e-01,4.672923149262445445e-04
2.238721138568340052e+02,9.854835390832563657e-01,4.504785423912070676e-04
2.371373705661655151e+02,9.849114759378060358e-01,4.335763302978980520e-04
2.511886431509582280e+02,9.843563793513188109e-01,4.166721923720810854e-04
2.660725059798811003e+02,9.838190976081443440e-01,3.998472159770310682e-04
2.818382931264454783e+02,9.832999278932190723e-01,3.831761293568805050e-04
2.985382618917960258e+02,9.827986267563988410e-01,3.667266157754251691e-04
3.162277660168379043e+02,9.823144314067036031e-01,3.505588747639917118e-04
3.349654391578279160e+02,9.818460883747862633e-01,3.347254173519569401e-04
3.548133892335756627e+02,9.813918861193851040e-01,3.192710719429013837e-04
3.758374042884443043e+02,9.809496884202770772e-01,3.042331706804089330e-04
3.981071705534973262e+02,9.805169658197602223e-01,2.896418825888521413e-04
4.216965034285822185e+02,9.800908228731390892e-01,2.755206589992576340e-04
4.466835921509634773e+02,9.796680194833493616e-01,2.618867582525923532e-04
4.731512589614807780e+02,9.792449850783325749e-01,2.487518197018175623e-04
5.011872336272724624e+02,9.788178248111132351e-01,2.361224610761117392e-04
5.308844442309884926e+02,9.783823173055417044e-01,2.240008777313163635e-04
5.623413251903490391e+02,9.779339037313087291e-01,2.123854268403049296e-04
5.956621435290109048e+02,9.774676681746893303e-01,2.012711838241768730e-04
6.309573444801936830e+02,9.769783093868654733e-01,1.906504621458204451e-04
6.683439175686148701e+02,9.764601040528165798e-01,1.805132908468126012e-04
7.079457843841380509e+02,9.759068617450362693e-01,1.708478468951877801e-04
7.498942093324558300e+02,9.753118717218732803e-01,1.616408415345678374e-04
7.943282347242821970e+02,9.746678417134166938e-01,1.528778614334024954e-04
8.413951416451956220e+02,9.739668288206878577e-01,1.445436665959884924e-04
8.912509381337458763e+02,9.732001626476509681e-01,1.366224477821530799e-04
9.440608762859235412e+02,9.723583608005602619e-01,1.290980466623862111e-04
1.000000000000000000e+03,9.714310369353854613e-01,1.219541421815696506e-04
1.059253725177289652e+03,9.704068016215222636e-01,1.151744066689978663e-04
1.122018454301962947e+03,9.692731564289851498e-01,1.087426351611837092e-04
1.188502227437018973e+03,9.680163818478528803e-01,1.026428512520716912e-04
1.258925411794168667e+03,9.666214199246351280e-01,9.685939256902234909e-05
1.333521432163324107e+03,9.650717528631328479e-01,9.137697872282302884e-05
1.412537544622755377e+03,9.633492793003243237e-01,8.618076431879929619e-05
1.496235656094432670e+03,9.614341905440063618e-01,8.125637934897722125e-05
1.584893192461114040e+03,9.593048497603793301e-01,7.658995902937850233e-05
1.678804018122562411e+03,9.569376779360464491e-01,7.216816489622745480e-05
1.778279410038922833e+03,9.543070514148349615e-01,6.797819875222110744e-05
1.883649089489802009e+03,9.513852169227006161e-01,6.400781083378754882e-05
1.995262314968878854e+03,9.481422312295340049e-01,6.024530338029652148e-05
2.113489039836647862e+03,9.445459339247818109e-01,5.667953060235848877e-05
2.238721138568342212e+03,9.405619631526623836e-01,5.329989588023838101e-05
2.371373705661655094e+03,9.361538254831911487e-01,5.009634686790180206e-05
2.511886431509582053e+03,9.312830322746937783e-01,4.705936903086480381e-05
2.660725059798808616e+03,9.259093157611895109e-01,4.417997800401286297e-05
2.818382931264454783e+03,9.199909384825579739e-01,4.144971102105972664e-05
2.985382618917963100e+03,9.134851093366741503e-01,3.886061753450218944e-05
3.162277660168379498e+03,9.063485182106407745e-01,3.640524901673000089e-05
3.349654391578279501e+03,8.985379985707343531e-01,3.407664781136380731e-05
3.548133892335752989e+03,8.900113233031063942e-01,3.186833479417691987e-05
3.758374042884443043e+03,8.807281333048534444e-01,2.977429550204207942e-05
3.981071705534977355e+03,8.706509907471737808e-01,2.778896432604924884e-05
4.216965034285822185e+03,8.597465396647215874e-01,2.590720631470166233e-05
4.466835921509635227e+03,8.479867459020692388e-01,2.412429614935310930e-05
4.731512589614802891e+03,8.353501770903516421e-01,2.243589390297582843e-05
5.011872336272725079e+03,8.218232721610382319e-01,2.083801731425430484e-05
5.308844442309889928e+03,8.074015401317440332e-01,1.932701048729482614e-05
5.623413251903491073e+03,7.920906209070089909e-01,1.789950915631158368e-05
5.956621435290109730e+03,7.759071380349862324e-01,1.655240294105982137e-05
6.309573444801942969e+03,7.588792759642610797e-01,1.528279530740235976e-05
6.683439175686148701e+03,7.410470231275197994e-01,1.408796224286926638e-05
7.079457843841388240e+03,7.224620372435888171e-01,1.296531090211106141e-05
7.498942093324558300e+03,7.031871098541040421e-01,1.191233964501549561e-05
7.943282347242821743e+03,6.832952317210534421e-01,1.092660095092859542e-05
8.413951416451964178e+03,6.628682870127754478e-01,1.000566863283032978e-05
8.912509381337458763e+03,6.419954294745238155e-01,9.147110577347402718e-06
9.440608762859244962e+03,6.207712152630728841e-01,8.348467938120438916e-06
1.000000000000000000e+04,5.992935824768187425e-01,7.607241317998205078e-06
1.059253725177289743e+04,5.776617750689778674e-01,6.920884041800074406e-06
1.122018454301965176e+04,5.559743082425419036e-01,6.286802201409406106e-06
1.188502227437018882e+04,5.343270641010716693e-01,5.702360762020194530e-06
1.258925411794168758e+04,5.128115916919634421e-01,5.164894731957900174e-06
1.333521432163324062e+04,4.915136666722457748e-01,4.671724194333112627e-06
1.412537544622755377e+04,4.705121449527971955e-01,4.220171920459643752e-06
1.496235656094435762e+04,4.498781240388919356e-01,3.807582300645005357e-06
1.584893192461114086e+04,4.296744072073891973e-01,3.431340438961332440e-06
1.678804018122562411e+04,4.099552504192212066e-01,3.088890427816197859e-06
1.778279410038922651e+04,3.907663606350729180e-01,2.777752026902825465e-06
1.883649089489801918e+04,3.721451071058466398e-01,2.495535185677144523e-06
1.995262314968882856e+04,3.541209039351368437e-01,2.239952072987734373e-06
2.113489039836647498e+04,3.367157221550104440e-01,2.008826455916642195e-06
2.238721138568342212e+04,3.199446919691498192e-01,1.800100436015896716e-06
2.371373705661655185e+04,3.038167599237949767e-01,1.611838674613409475e-06
2.511886431509581962e+04,2.883353708549286076e-01,1.442230321498488330e-06
2.660725059798813891e+04,2.734991499340516663e-01,1.289588924335876684e-06
2.818382931264454965e+04,2.593025655376001160e-01,1.152350618391362028e-06
2.985382618917963191e+04,2.457365586782957467e-01,1.029070904001279588e-06
3.162277660168379225e+04,2.327891291655033168e-01,9.184203105167417146e-07
3.349654391578279319e+04,2.204458724117885904e-01,8.191792189595593977e-07
3.548133892335760174e+04,2.086904638559001768e-01,7.302320943726161138e-07
3.758374042884443043e+04,1.975050903620141629e-01,6.505613376467952083e-07
3.981071705534977082e+04,1.868708297473004598e-01,5.792409384767909867e-07
4.216965034285822185e+04,1.767679808670418462e-01,5.154300801063260634e-07
4.466835921509634500e+04,1.671763475359441808e-01,4.583668130853598784e-07
4.731512589614812168e+04,1.580754800704384233e-01,4.073618894405971439e-07
5.011872336272725079e+04,1.494448784764935145e-01,3.617928275967450315e-07
5.308844442309890292e+04,1.412641613477017277e-01,3.210982570925008288e-07
5.623413251903490891e+04,1.335132044352281833e-01,2.847725731528501571e-07
5.956621435290109366e+04,1.261722526502238872e-01,2.523609218587853941e-07
6.309573444801942969e+04,1.192220089964951824e-01,2.234545252583617602e-07
6.683439175686148519e+04,1.126437036341332715e-01,1.976863418953366756e-07
7.079457843841388240e+04,1.064191459640017740e-01,1.747270588735680266e-07
7.498942093324557936e+04,1.005307623131765499e-01,1.542814073099731870e-07
7.943282347242820833e+04,9.496162150277291658e-02,1.360847791570437561e-07
8.413951416451964178e+04,8.969545029869818720e-02,1.199001378073667142e-07
8.912509381337459490e+04,8.471664048656436796e-02,1.055151989144381144e-07
9.440608762859244598e+04,8.001024907621709370e-02,9.273986761622855513e-08
1.000000000000000000e+05,7.556199292951999713e-02,8.140391341521279221e-08
